id,l1_unified,l1i,l1d,l2_shared,l2_shared_ncores,l3_shared,l3_shared_ncores,created_at,updated_at
1,,,,2048,,,,"2014-11-17 00:01:26.586783","2014-11-17 00:01:26.586783"
2,,,,,,,,"2014-11-17 00:01:26.601422","2014-11-17 00:01:26.601422"
3,,,,1024,,,,"2014-11-17 00:01:26.782414","2014-11-17 00:01:26.782414"
4,,,,256,,,,"2014-11-17 00:01:26.833869","2014-11-17 00:01:26.833869"
5,,,,512,,,,"2014-11-17 00:01:27.367283","2014-11-17 00:01:27.367283"
6,,,,128,,,,"2014-11-17 00:01:27.796473","2014-11-17 00:01:27.796473"
7,,,,4096,,,,"2014-11-17 00:01:28.544903","2014-11-17 00:01:28.544903"
8,,,,8192,,,,"2014-11-17 00:01:29.241768","2014-11-17 00:01:29.241768"
9,,,,16384,,,,"2014-11-17 00:01:29.272478","2014-11-17 00:01:29.272478"
10,,32,32,2048,,,,"2014-11-17 00:01:31.769407","2014-11-17 00:01:31.769407"
11,,,,3072,,,,"2014-11-17 00:01:32.261061","2014-11-17 00:01:32.261061"
12,,,,6144,,,,"2014-11-17 00:01:32.344704","2014-11-17 00:01:32.344704"
13,,,,9216,,,,"2014-11-17 00:01:32.377207","2014-11-17 00:01:32.377207"
14,,,,1536,,,,"2014-11-17 00:01:32.433373","2014-11-17 00:01:32.433373"
15,,,,12288,,,,"2014-11-17 00:01:32.516327","2014-11-17 00:01:32.516327"
16,,,,18432,,,,"2014-11-17 00:01:32.608376","2014-11-17 00:01:32.608376"
17,,,,24576,,,,"2014-11-17 00:01:32.642456","2014-11-17 00:01:32.642456"
18,,,,,,24576,,"2014-11-17 00:01:33.721929","2014-11-17 00:01:33.721929"
19,,,,,,12288,,"2014-11-17 00:01:33.908046","2014-11-17 00:01:33.908046"
20,,,,,,8192,,"2014-11-17 00:01:33.964261","2014-11-17 00:01:33.964261"
21,,,,,,18432,,"2014-11-17 00:01:33.995138","2014-11-17 00:01:33.995138"
