id,processor_id,created_at,updated_at,score,threads,thread_model,date,link
1,699,"2014-11-17 00:08:20.746864","2014-11-17 00:08:20.746864",5877.32,1,,2011-03-19,http://www.coremark.org/benchmark/index.php
2,709,"2014-11-17 00:08:20.769588","2014-11-17 00:08:20.769588",15500.59,2,PThreads,2011-02-21,http://www.coremark.org/benchmark/index.php
3,746,"2014-11-17 00:08:20.789345","2014-11-17 00:08:20.789345",288,1,,2010-11-08,http://www.coremark.org/benchmark/index.php
4,714,"2014-11-17 00:08:20.807449","2014-11-17 00:08:20.807449",10236.99,1,,2010-10-19,http://www.coremark.org/benchmark/index.php
5,762,"2014-11-17 00:08:20.844335","2014-11-17 00:08:20.844335",13713.14,2,PThreads,2010-05-13,http://www.coremark.org/benchmark/index.php
6,683,"2014-11-17 00:08:20.861740","2014-11-17 00:08:20.861740",24.27,1,,,http://www.coremark.org/benchmark/index.php
7,683,"2014-11-17 00:08:20.879014","2014-11-17 00:08:20.879014",10,1,,2009-10-14,http://www.coremark.org/benchmark/index.php
8,740,"2014-11-17 00:08:20.897098","2014-11-17 00:08:20.897098",214.96,1,,2009-10-14,http://www.coremark.org/benchmark/index.php
9,746,"2014-11-17 00:08:20.917033","2014-11-17 00:08:20.917033",1226.84,1,,2009-10-13,http://www.coremark.org/benchmark/index.php
10,809,"2014-11-17 00:08:20.933417","2014-11-17 00:08:20.933417",6381.25,1,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
11,809,"2014-11-17 00:08:20.951781","2014-11-17 00:08:20.951781",24828.46,4,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
12,809,"2014-11-17 00:08:20.970159","2014-11-17 00:08:20.970159",19143.75,3,Pthreads,2009-07-13,http://www.coremark.org/benchmark/index.php
13,809,"2014-11-17 00:08:20.991968","2014-11-17 00:08:20.991968",12774.06,2,Pthreads,2009-07-13,http://www.coremark.org/benchmark/index.php
14,713,"2014-11-17 00:08:21.053971","2014-11-17 00:08:21.053971",8771.16,2,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
15,713,"2014-11-17 00:08:21.075339","2014-11-17 00:08:21.075339",8918.62,4,PThreads,2009-07-13,http://www.coremark.org/benchmark/index.php
16,911,"2014-11-17 00:08:21.095625","2014-11-17 00:08:21.095625",4339.34,1,,2010-07-12,http://www.coremark.org/benchmark/index.php
17,911,"2014-11-17 00:08:21.114652","2014-11-17 00:08:21.114652",16619.35,4,Fork,2010-07-12,http://www.coremark.org/benchmark/index.php
18,911,"2014-11-17 00:08:21.133291","2014-11-17 00:08:21.133291",21457.31,8,Fork,2010-07-12,http://www.coremark.org/benchmark/index.php
19,906,"2014-11-17 00:08:21.150657","2014-11-17 00:08:21.150657",2828.45,1,,2010-04-12,http://www.coremark.org/benchmark/index.php
20,906,"2014-11-17 00:08:21.170658","2014-11-17 00:08:21.170658",11030.68,4,Fork,2010-04-12,http://www.coremark.org/benchmark/index.php
21,901,"2014-11-17 00:08:21.190652","2014-11-17 00:08:21.190652",1309.07,1,,2010-04-12,http://www.coremark.org/benchmark/index.php
22,900,"2014-11-17 00:08:21.209378","2014-11-17 00:08:21.209378",1363.42,1,,2010-03-09,http://www.coremark.org/benchmark/index.php
23,900,"2014-11-17 00:08:21.227984","2014-11-17 00:08:21.227984",10091.45,8,Fork,2010-03-09,http://www.coremark.org/benchmark/index.php
24,900,"2014-11-17 00:08:21.246245","2014-11-17 00:08:21.246245",5534.03,4,Fork,2010-03-09,http://www.coremark.org/benchmark/index.php
25,900,"2014-11-17 00:08:21.339477","2014-11-17 00:08:21.339477",1140.9,1,,2010-03-08,http://www.coremark.org/benchmark/index.php
26,952,"2014-11-17 00:08:21.361377","2014-11-17 00:08:21.361377",1051.03,1,,2010-10-20,http://www.coremark.org/benchmark/index.php
27,1064,"2014-11-17 00:08:21.379942","2014-11-17 00:08:21.379942",3367.6,1,,2011-05-03,http://www.coremark.org/benchmark/index.php
28,1064,"2014-11-17 00:08:21.402144","2014-11-17 00:08:21.402144",6543.8,2,PThreads,2011-05-03,http://www.coremark.org/benchmark/index.php
29,1044,"2014-11-17 00:08:21.423741","2014-11-17 00:08:21.423741",9049.77,4,PThreads,2011-04-08,http://www.coremark.org/benchmark/index.php
30,1044,"2014-11-17 00:08:21.446536","2014-11-17 00:08:21.446536",8942.04,4,Fork,2011-04-08,http://www.coremark.org/benchmark/index.php
31,1128,"2014-11-17 00:08:21.465436","2014-11-17 00:08:21.465436",19543.4,4,PThreads,2011-04-05,http://www.coremark.org/benchmark/index.php
32,1047,"2014-11-17 00:08:21.482944","2014-11-17 00:08:21.482944",3581.88,2,PThreads,2011-04-05,http://www.coremark.org/benchmark/index.php
33,1133,"2014-11-17 00:08:21.503947","2014-11-17 00:08:21.503947",21864,4,PThreads,2011-03-26,http://www.coremark.org/benchmark/index.php
34,1144,"2014-11-17 00:08:21.525355","2014-11-17 00:08:21.525355",51895.82,8,PThreads,2011-03-24,http://www.coremark.org/benchmark/index.php
35,1051,"2014-11-17 00:08:21.544039","2014-11-17 00:08:21.544039",3192.17,2,PThreads,2011-03-24,http://www.coremark.org/benchmark/index.php
36,1105,"2014-11-17 00:08:21.600674","2014-11-17 00:08:21.600674",36553.96,4,PThreads,2011-03-22,http://www.coremark.org/benchmark/index.php
37,1154,"2014-11-17 00:08:21.659515","2014-11-17 00:08:21.659515",99562.34,16,Pthreads,2011-03-12,http://www.coremark.org/benchmark/index.php
38,1235,"2014-11-17 00:08:21.695494","2014-11-17 00:08:21.695494",3034,1,,2011-03-11,http://www.coremark.org/benchmark/index.php
39,1083,"2014-11-17 00:08:21.729992","2014-11-17 00:08:21.729992",20628,2,PThreads,2011-03-11,http://www.coremark.org/benchmark/index.php
40,1044,"2014-11-17 00:08:21.765703","2014-11-17 00:08:21.765703",9106.94,4,Fork,2011-03-09,http://www.coremark.org/benchmark/index.php
41,1234,"2014-11-17 00:08:21.801043","2014-11-17 00:08:21.801043",4213.78,1,,2011-02-22,http://www.coremark.org/benchmark/index.php
42,1127,"2014-11-17 00:08:21.825938","2014-11-17 00:08:21.825938",19547.73,4,PThreads,2011-02-21,http://www.coremark.org/benchmark/index.php
43,1091,"2014-11-17 00:08:21.845605","2014-11-17 00:08:21.845605",12095.88,2,PThreads,2011-02-21,http://www.coremark.org/benchmark/index.php
44,1142,"2014-11-17 00:08:21.866966","2014-11-17 00:08:21.866966",31302.24,8,PThreads,2011-02-17,http://www.coremark.org/benchmark/index.php
45,1147,"2014-11-17 00:08:21.887178","2014-11-17 00:08:21.887178",48343.68,8,PThreads,2011-02-16,http://www.coremark.org/benchmark/index.php
46,1135,"2014-11-17 00:08:21.907888","2014-11-17 00:08:21.907888",10379.9,1,,2010-11-25,http://www.coremark.org/benchmark/index.php
47,1135,"2014-11-17 00:08:21.927502","2014-11-17 00:08:21.927502",13456.23,1,,2010-11-25,http://www.coremark.org/benchmark/index.php
