id,manufacturer_id,name,isa,isa_version,isa_extensions,fp_pipestages,int_pipestages,max_uop_issued_per_cycle,ifu,lsfu,fpfu,tfu,max_inst_decoded,rob_size,iwindow,if_queue,bht_size,btb_size,bp_acc,arch_int_reg,arch_fp_reg,total_arch_reg,fp_coproc,out_of_order,memory_bw,integrated_mc,source,created_at,updated_at
1,1,K10,x86-64,,SSE4a,17,12,9,5,3,3,11,3,72,42,,16384,2048,,96,96,96,,t,,t,,"2014-11-17 00:01:25.075416","2014-11-17 00:01:25.075416"
2,1,K5,x86-32,,,,5,4,2,2,1,6,4,16,11,,1024,,,,,,,t,,f,,"2014-11-17 00:01:25.092449","2014-11-17 00:01:25.092449"
3,1,K6,x86-32,,"MMX 3D-Now",2,6,6,4,2,3,10,2,,24,,8192,16,0,,,,,f,,f,,"2014-11-17 00:01:25.105778","2014-11-17 00:01:25.105778"
4,1,K6-2,x86-32,,"MMX 3D-Now",,,,,,,,,,,,,,,,,,,f,,f,,"2014-11-17 00:01:25.119075","2014-11-17 00:01:25.119075"
5,1,K6-III,x86-32,,"MMX 3D-Now",,,,,,,,,,,,,,,,,,,f,,f,,"2014-11-17 00:01:25.131317","2014-11-17 00:01:25.131317"
6,1,K7,x86-32,,"SSE Subset",15,10,9,3,4,3,9,3,72,32,,4096,2048,,1600,,,,t,,f,,"2014-11-17 00:01:25.144447","2014-11-17 00:01:25.144447"
7,1,K8,x86-64,,SSE2,17,12,6,3,1,3,,3,72,,,16384,2048,,,,,,t,,t,http://www.hardwaresecrets.com/article/Inside-AMD64-Architecture/324/1,"2014-11-17 00:01:25.160111","2014-11-17 00:01:25.160111"
8,3,EV4,Alpha,,,10,7,2,1,1,1,3,2,,,,2048,,0,32,32,32,,f,1600,,http://www.ece.umd.edu/~blj/microarchitecture/21064.pb.pdf,"2014-11-17 00:01:25.172858","2014-11-17 00:01:25.172858"
9,3,EV5,Alpha,,,9,7,4,2,2,2,4,4,,,,4096,,,32,32,32,,f,1200,,"http://dx.doi.org/10.1109/MWSCAS.1995.510295 http://www.cs.cmu.edu/afs/cs/academic/class/15740-f03/public/doc/alpha-21164-hw-ref-manual.pdf","2014-11-17 00:01:25.186849","2014-11-17 00:01:25.186849"
10,3,EV6,Alpha,,,7,7,6,4,2,2,6,4,80,35,4,29696,4096,0,39,31,,,t,,,"http://dx.doi.org/10.1109/40.755465  http://www.google.com/url?http://download.majix.org/dec/21264ev68cb_ev68dc_hrm.pdf","2014-11-17 00:01:25.199985","2014-11-17 00:01:25.199985"
11,3,EV7,Alpha,,,7,7,6,4,2,2,6,4,80,35,4,29696,4096,0,39,31,,,t,,,"http://dx.doi.org/10.1109/40.988687  http://doi.acm.org/10.1145/378239.379073 http://en.wikipedia.org/wiki/Alpha_21364","2014-11-17 00:01:25.214410","2014-11-17 00:01:25.214410"
