id,processor_id,created_at,updated_at,hw_avail,test_sponsor,hw_model,basemean,peakmean,013_spice2g6,015_doduc,034_mdljdp2,039_wave5,047_tomcatv,048_ora,052_alvinn,056_ear,077_mdljsp2,078_swm256,089_su2cor,090_hydro2d,093_nasa7,094_fpppp,link
1,830,"2014-11-17 00:05:39.558915","2014-11-17 00:05:39.558915",,Digital,"AlphaStation 200 4/100",90.6,95.2,44.4,66.2,78.4,66,88,76.3,199.7,304.7,49.6,54.9,114.5,119.5,108.8,99.6,"http://performance.netlib.org/performance/html/spec.dec20400.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 200 4/100 100MHz 21064}"
2,831,"2014-11-17 00:05:39.579797","2014-11-17 00:05:39.579797",,Digital,"DEC 3000 Model 300LX",73.1,77.7,39.1,69.9,93.3,59.5,67.6,101.2,106.2,272.4,47.1,36.7,84,76.5,55.5,67.2,"http://performance.netlib.org/performance/html/spec.dec3-3lx.cfp92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300LX 125MHz 21064}"
3,833,"2014-11-17 00:05:39.598993","2014-11-17 00:05:39.598993",,Digital,"AlphaStation 400 4/166",134.2,139.7,64.6,106.3,127.3,100.8,103.9,125.5,313.9,488.5,81.9,65.4,156.9,183.2,145.5,155.9,"http://performance.netlib.org/performance/html/spec.dec40466.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 400 4/166 166MHz 21064}"
4,833,"2014-11-17 00:05:39.619367","2014-11-17 00:05:39.619367",,Digital,"AlphaStation 200 4/166",128.4,134.8,64.1,106.3,128.4,97.9,104.3,129.7,300.4,396.6,64.7,64.9,154.5,170.4,143.2,152.1,"http://performance.netlib.org/performance/html/spec.dec4166.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 200 4/166 166MHz 21064}"
5,833,"2014-11-17 00:05:39.639416","2014-11-17 00:05:39.639416",,Digital,"AXPpci 33",82.5,86.6,49.5,80.2,112.5,50.5,49.8,95.3,186.2,250,70.7,26.5,93.3,132.4,79.3,73.5,"http://performance.netlib.org/performance/html/spec.decaxp.cfp92.6_95.notes.html#{Digital Equipment Corporation AXPpci 33 166MHz 21064}"
6,834,"2014-11-17 00:05:39.656539","2014-11-17 00:05:39.656539",,Digital,"DEC 3000 Model 300X",97.2,101.9,48.3,94.4,128.7,81,75.3,143,169,402.8,65.7,40,100.5,93.9,65.6,118.1,"http://performance.netlib.org/performance/html/spec.dec3-30x.cfp92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300X 175MHz 21064}"
7,835,"2014-11-17 00:05:39.675994","2014-11-17 00:05:39.675994",,Digital,"Digital 2100 Server A500MP",154.3,161,79,125.7,145.9,111.4,133.2,156.2,348,471.3,72,74.2,219,196.8,201.9,169.1,"http://performance.netlib.org/performance/html/spec.dec2100.cfp92.6_94.notes.html#{Digital Equipment Corporation Digital 2100 Server A500MP 190MHz 21064}"
8,835,"2014-11-17 00:05:39.695898","2014-11-17 00:05:39.695898",,Digital,"AlphaServer 2000 4/200",152,160.5,79.3,123.2,144.7,114.6,126.8,151.7,343.3,445,73,75.1,213.9,203,191.1,162,"http://performance.netlib.org/performance/html/spec.dec4202.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 2000 4/200 190MHz 21064}"
9,836,"2014-11-17 00:05:39.717389","2014-11-17 00:05:39.717389",,Digital,"AlphaServer 1000 4/200",165.7,177,90.2,127.4,149.3,112.5,197.8,150.5,340.3,454.5,75.5,104.3,226.7,206.9,223.4,160,"http://performance.netlib.org/performance/html/spec.dec4200.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 1000 4/200 200MHz 21064}"
10,836,"2014-11-17 00:05:39.738321","2014-11-17 00:05:39.738321",,Digital,"DEC 3000 Model 800",179.2,187.6,93.4,133.8,154.1,123.3,220.8,164.9,373.3,498,76.1,114.6,257,210.8,259.3,178.6,"http://performance.netlib.org/performance/html/spec.dec3-800.cfp92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 800 200MHz 21064}"
11,837,"2014-11-17 00:05:39.758085","2014-11-17 00:05:39.758085",,Digital,"DEC 3000 Model 700",213.3,230.6,118.7,178.8,191.6,142.3,245.4,209.6,432,593,90.5,121.2,324.1,280.2,261.3,203.1,"http://performance.netlib.org/performance/html/spec.dec3-700.cfp92.9_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 700 225 MHz 21064A}"
12,838,"2014-11-17 00:05:39.777831","2014-11-17 00:05:39.777831",,Digital,"Digital AlphaServer 400 4/233",182.4,194.3,87.1,187.9,193.2,123.3,111.8,228.3,434.5,730.7,111.3,69.4,206.4,258,159.5,217.5,"http://performance.netlib.org/performance/html/spec.d44233f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 400 4/233 233MHz 21064A}"
13,838,"2014-11-17 00:05:39.799314","2014-11-17 00:05:39.799314",,Digital,"AlphaStation 200 4/233",174.6,183.9,87.1,177.1,196.9,129.4,112.8,206.7,417.9,608.6,92.8,68.2,202.5,246.8,168,197.4,"http://performance.netlib.org/performance/html/spec.dec2233.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 200 4/233 233MHz 21064A}"
14,838,"2014-11-17 00:05:39.820301","2014-11-17 00:05:39.820301",,Digital,"AlphaStation 400 4/233",168.1,181.2,84.2,160.3,194.8,123.3,111.8,168.3,413.4,604.3,91.5,67.1,199.4,243.3,164.4,192.9,"http://performance.netlib.org/performance/html/spec.dec4233.cfp92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 400 4/233 233MHz 21064A}"
15,838,"2014-11-17 00:05:39.841663","2014-11-17 00:05:39.841663",,Digital,"AlphaServer 2100 4/233",192.3,215,105.6,175.5,199.2,120.5,133.8,177.1,460.5,718.3,119.2,73.9,232.4,267.6,240,205.8,"http://performance.netlib.org/performance/html/spec.dec21433.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/233 233MHz 21064A}"
16,839,"2014-11-17 00:05:39.860896","2014-11-17 00:05:39.860896",,Digital,"Digital AlphaServer 1000 4/266",247.3,263.8,137.1,218.8,217.5,147.4,243.1,259.4,496.1,809.5,125.9,128.4,356.4,323.9,291.2,242.1,"http://performance.netlib.org/performance/html/spec.d14266f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000 4/266 266MHz 21064A}"
17,839,"2014-11-17 00:05:39.883404","2014-11-17 00:05:39.883404",,Digital,"AlphaStation 250 4/266",246.8,262.5,134.4,200,225.1,158.8,238.7,220.8,502.6,796.9,134,121.3,360.3,320.1,321.8,253.4,"http://performance.netlib.org/performance/html/spec.dec25466.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 250 4/266 266MHz 21064A}"
18,839,"2014-11-17 00:05:39.902918","2014-11-17 00:05:39.902918",,Digital,"Digital AlphaServer 1000A 4/266",247.3,263.8,137.1,218.8,217.5,147.4,243.1,259.4,496.1,809.5,125.9,128.4,356.4,323.9,291.2,242.1,"http://performance.netlib.org/performance/html/spec.F00404.cfp92.4_96.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000A 4/266 266MHz 21064A}"
19,840,"2014-11-17 00:05:39.923121","2014-11-17 00:05:39.923121",,Digital,"DEC 3000 Model 900",244.6,264.1,139.5,209,228,158.1,267.7,256.7,502.6,702.5,108.4,132.8,355.4,318.6,289.2,227.7,"http://performance.netlib.org/performance/html/spec.dec3-900.cfp92.9_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 900 275 MHz 21064A}"
20,840,"2014-11-17 00:05:39.943978","2014-11-17 00:05:39.943978",,Digital,"DEC 7000 Model 710",265.8,292.6,142.4,202.2,229.4,163,434.4,256.7,505.9,708.3,108.8,233.9,360.3,325.4,297.3,230,"http://performance.netlib.org/performance/html/spec.dec7-710.cfp92.9_94.notes.html#{Digital Equipment Corporation DEC 7000 Model 710 275 MHz 21064A}"
21,840,"2014-11-17 00:05:39.961766","2014-11-17 00:05:39.961766",,Digital,"AlphaPC 64",262.9,273.3,145.2,229.6,229.4,163,240.9,269.8,537.8,830.6,133.5,125.6,383.9,347.7,341.5,272.2,"http://performance.netlib.org/performance/html/spec.dec64f.cfp92.9_95.notes.html#{Digital Equipment Corporation AlphaPC 64 275MHz 21064A}"
22,842,"2014-11-17 00:05:39.981675","2014-11-17 00:05:39.981675",,Digital,"Digital AXPvme230",112,117.1,57,118.5,164.9,69.7,68.7,222.8,242.6,329.9,100.9,39.8,112.1,156.6,82.4,89.1,"http://performance.netlib.org/performance/html/spec.dvme230f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AXPvme230 231MHz 21066A}"
23,843,"2014-11-17 00:05:40.003887","2014-11-17 00:05:40.003887",,Digital,"Digital AXPpci33S",107.8,112.7,62.2,108.1,153.8,68.5,58.9,132.7,244.9,341.4,98,31.3,118.7,175,98.9,98.7,"http://performance.netlib.org/performance/html/spec.dpci33f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AXPpci33 233MHz 21066A}"
24,844,"2014-11-17 00:05:40.127033","2014-11-17 00:05:40.127033",,Digital,"Digital AXPvme100",56.9,60.3,31,57.4,69.9,35.7,37.7,90.2,130.6,174.4,41.7,21.7,62.1,82.1,46.1,50.3,"http://performance.netlib.org/performance/html/spec.dvme100f.cfp92.12_95.notes.html#{Digital Equipment Corporation Digital AXPvme100 99MHz 21066A}"
25,845,"2014-11-17 00:05:40.148223","2014-11-17 00:05:40.148223",,Digital,"AlphaServer 2100 5/250",356.4,410.4,169.1,281.8,296.7,243.4,473.2,299.2,573.9,937.5,177.2,257.6,520.2,383.8,440.9,505.5,"http://performance.netlib.org/performance/html/spec.dec21550.cfp92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 5/250 250MHz 21164}"
