id,processor_id,created_at,updated_at,hw_avail,test_sponsor,hw_model,basemean,peakmean,101_tomcatv,102_swim,103_su2cor,104_hydro2d,107_mgrid,110_applu,125_turb3d,141_apsi,145_fpppp,146_wave5,link
1,689,"2014-11-17 00:05:43.475379","2014-11-17 00:05:43.475379",2000-01-01,--,"ASUS K7V-RM Mainboard; 800MHz Athlon processor",26.7,0,37.9,60,14.6,14.1,16.1,14.7,18.2,25.2,93.4,38.2,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04085.html
2,690,"2014-11-17 00:05:43.497602","2014-11-17 00:05:43.497602",2000-02-01,--,"ASUS K7V-RM Mainboard; 850MHz Athlon processor",27.4,0,38.3,60.6,14.9,14.3,16.5,15.2,18.9,26.1,99.3,39.6,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04086.html
3,692,"2014-11-17 00:05:43.519146","2014-11-17 00:05:43.519146",2000-03-01,--,"ASUS K7V-RM mainboard; 1.0GHz Athlon processor",29.4,0,39.1,63,15.6,14.4,18,16.3,20.8,28.4,117,42.6,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000313-04137.html
4,691,"2014-11-17 00:05:43.537404","2014-11-17 00:05:43.537404",2000-03-01,--,"ASUS K7V-RM mainboard; 900MHz Athlon processor",27.9,0,38.6,61.5,14.9,14.4,17.1,15.5,19.1,26.3,105,39.6,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000328-04180.html
5,688,"2014-11-17 00:05:43.557253","2014-11-17 00:05:43.557253",1999-12-01,AMD,"GigaByte GA-7IX mainboard; 750MHz Athlon processor",25.3,26.5,33.8,43.8,12.2,11.9,20,17.4,23.8,24.5,74.9,33.1,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000117-03985.html
6,688,"2014-11-17 00:05:43.576386","2014-11-17 00:05:43.576386",1999-12-01,AMD,"GigaByte GA-7IX mainboard; 750MHz Athlon processor",24.4,0,32.6,53,12.5,12,15.3,13.8,17.4,24.3,87.5,36.3,http://www.spec.org/cpu95/results/res99q4/cpu95-19991206-03937.html
7,685,"2014-11-17 00:05:43.597506","2014-11-17 00:05:43.597506",1999-08-01,AMD,"Microstar MS-6167 mainboard; 550MHz Athlon processor",20.6,0,29.3,47.9,11,11,12.3,11.3,14.5,20.3,64.3,30.5,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03745.html
8,686,"2014-11-17 00:05:43.617826","2014-11-17 00:05:43.617826",1999-08-01,AMD,"Microstar MS-6167 mainboard; 600MHz Athlon processor",21.5,0,29.7,49.7,11.5,11.3,13,11.9,15.5,21.7,70.1,30.4,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03747.html
9,687,"2014-11-17 00:05:43.638663","2014-11-17 00:05:43.638663",1999-08-01,AMD,"Microstar MS-6167 mainboard; 650MHz Athlon processor",22.6,0,30.7,51.2,12,11.5,13.5,12.4,16.4,22.9,75.9,34.2,http://www.spec.org/cpu95/results/res99q3/cpu95-19990914-03867.html
10,873,"2014-11-17 00:05:43.657480","2014-11-17 00:05:43.657480",2000-10-01,"Tom Morris","API UP2000 750 MHz",65.1,77.5,115,167,26.2,50.9,74.2,41.3,39.5,61.2,108,66.9,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04280.html
11,874,"2014-11-17 00:05:43.690322","2014-11-17 00:05:43.690322",2000-10-01,"Tom Morris","API UP2000 833 MHz",79.1,95.6,126,188,34.6,63,86.1,49.5,47.9,80.4,122,93.1,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04282.html
12,870,"2014-11-17 00:05:43.715772","2014-11-17 00:05:43.715772",1999-07-01,"Alpha Processor; Inc.","UP2000 667 MHz 4MB Windows NT",49.1,54.1,59.8,91.6,22.7,35.9,53.7,30.2,32.2,55.4,95.2,65.5,http://www.spec.org/cpu95/results/res99q3/cpu95-19990621-03711.html
13,1003,"2014-11-17 00:05:43.735410","2014-11-17 00:05:43.735410",1996-04-01,"BULL Echirolles France","Escala M104",3.31,3.53,3.76,4.82,2.06,1.64,2.69,2.37,4.42,3.97,7.25,3.14,http://www.spec.org/cpu95/results/res96q1/cpu95-960202-00135.html
14,1008,"2014-11-17 00:05:43.755237","2014-11-17 00:05:43.755237",1997-06-01,"BULL Echirolles France","Escala Series T",6.62,7.14,6.89,10.2,3.95,3.25,4.94,3.72,7.29,8.81,22.1,6.82,http://www.spec.org/cpu95/results/res97q3/cpu95-970814-02018.html
15,1002,"2014-11-17 00:05:43.775200","2014-11-17 00:05:43.775200",1995-11-01,"BULL Echirolles France","Estrella MT604-100",3.02,3.34,3.71,4.25,1.78,1.79,2.76,2.61,4.11,3.38,5.98,2.08,http://www.spec.org/cpu95/results/res96q1/cpu95-960219-00463.html
16,1005,"2014-11-17 00:05:43.826646","2014-11-17 00:05:43.826646",1995-11-01,"BULL Echirolles France","Estrella MT604-133",3.34,3.7,3.97,4.53,1.89,1.91,3.17,2.9,4.74,3.98,6.98,2.23,http://www.spec.org/cpu95/results/res96q1/cpu95-960219-00465.html
17,1227,"2014-11-17 00:05:43.909517","2014-11-17 00:05:43.909517",1999-12-01,"Compaq MA","Professional Workstation SP750 (733 MHz)",30.6,30.8,52.3,96.8,16.7,17.7,29.4,17.6,26.5,23,40.5,37.3,http://www.spec.org/cpu95/results/res99q4/cpu95-19991025-03882.html
18,865,"2014-11-17 00:05:43.929803","2014-11-17 00:05:43.929803",1999-05-01,"Compaq NH","AlphaServer DS10",39.7,47.9,70.5,96,15.3,25.5,39.8,28.4,25.3,41,66.5,46.8,http://www.spec.org/cpu95/results/res99q2/cpu95-19990524-03670.html
19,869,"2014-11-17 00:05:43.947230","2014-11-17 00:05:43.947230",2000-10-01,"Compaq NH","AlphaServer DS10 6/600",48.1,56.1,70.7,107,21.5,28.1,46.3,33.6,33.9,52.3,90.4,58.3,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04257.html
20,870,"2014-11-17 00:05:43.964702","2014-11-17 00:05:43.964702",2000-03-01,"Compaq NH","AlphaServer DS20E Model 6/667",70.7,83.6,135,185,29.8,54.9,75.4,47.6,41.7,64.7,97.7,79.7,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000313-04089.html
21,866,"2014-11-17 00:05:43.982425","2014-11-17 00:05:43.982425",1999-04-01,"Compaq NH","AlphaServer ES40",47.2,57.7,90,120,17.1,35,49.8,34.8,27.9,44.6,71,55.7,http://www.spec.org/cpu95/results/res99q2/cpu95-19990412-03525.html
22,875,"2014-11-17 00:05:44.002940","2014-11-17 00:05:44.002940",2001-01-01,"Compaq NH","AlphaServer ES40 6/833",84.3,100,153,203,36.5,68.3,94.1,50.9,50.5,80.9,123,96.7,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04263.html
23,870,"2014-11-17 00:05:44.024105","2014-11-17 00:05:44.024105",2000-02-01,"Compaq NH","AlphaServer ES40 Model 6/667",69.4,82.7,126,178,29.6,54.8,75.4,45.4,41.3,65.4,98.2,78.3,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000214-04055.html
24,871,"2014-11-17 00:05:44.043977","2014-11-17 00:05:44.043977",1999-10-01,"Compaq NH","AlphaServer GS140 Model 6/700",54.5,68.1,99.7,85.8,21.7,51.8,73.2,26.2,30.9,59,102,67.7,http://www.spec.org/cpu95/results/res99q4/cpu95-19991206-03933.html
