id,processor_id,created_at,updated_at,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,168_wupwise,171_swim,172_mgrid,173_applu,177_mesa,178_galgel,179_art,183_equake,187_facerec,188_ammp,189_lucas,191_fma3d,200_sixtrack,301_apsi,link
1,708,"2014-11-17 00:05:54.381502","2014-11-17 00:05:54.381502",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 4200+",0,f,1456,1592,2440,2183,1328,1392,781,2322,2916,1556,1756,847,1666,1427,672,998,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06863.html
2,708,"2014-11-17 00:05:54.405325","2014-11-17 00:05:54.405325",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 4200+",0,f,1476,1610,2454,2274,1352,1410,788,2360,2966,1583,1767,855,1691,1443,673,1006,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07204.html
3,709,"2014-11-17 00:05:54.424373","2014-11-17 00:05:54.424373",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 5000+",0,f,1631,1786,2797,2325,1496,1532,928,2593,3159,1712,1983,939,1806,1628,792,1120,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06878.html
4,709,"2014-11-17 00:05:54.445058","2014-11-17 00:05:54.445058",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 5000+",0,f,1652,1809,2814,2431,1529,1554,921,2626,3214,1740,1998,946,1839,1647,792,1132,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07212.html
5,707,"2014-11-17 00:05:54.463856","2014-11-17 00:05:54.463856",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 FX-62",0,f,1944,2133,3051,2758,1794,1701,998,3239,5064,1906,2229,1284,2052,1790,855,1531,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06841.html
6,707,"2014-11-17 00:05:54.482670","2014-11-17 00:05:54.482670",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 FX-62",0,f,1945,2134,3052,2757,1795,1701,1000,3237,5058,1904,2228,1282,2052,1799,856,1531,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07196.html
7,1183,"2014-11-17 00:05:54.505053","2014-11-17 00:05:54.505053",2005-09-01,"Acer Incorporated","Acer Altos G320",800,f,1763,1763,2474,2652,1381,1484,1317,3196,4494,2627,1829,1094,2089,1410,599,1187,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05016.html
8,1532,"2014-11-17 00:05:54.524695","2014-11-17 00:05:54.524695",2005-09-01,"Acer Incorporated","Acer Altos G320",800,f,2089,2091,2912,2794,1680,1747,1661,3926,5142,3006,2181,1308,2405,1665,758,1448,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05017.html
9,761,"2014-11-17 00:05:54.544093","2014-11-17 00:05:54.544093",2005-06-01,"Acer Incorporated","Altos G5350  AMD  TM",0,f,1955,2119,2784,2586,1746,2099,2022,3216,2556,1674,2350,1491,2076,1641,832,1630,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050724-04389.html
10,758,"2014-11-17 00:05:54.563619","2014-11-17 00:05:54.563619",2005-07-01,"Acer Incorporated","Altos G5350  TM  246",0,f,1413,1526,2176,1978,1287,1245,758,2346,3589,1405,1585,960,1563,1264,609,1115,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05011.html
