id,processor_id,created_at,updated_at,hw_avail,test_sponsor,hw_model,basemean,peakmean,008_espresso,022_li,023_eqntott,026_compress,072_sc,085_gcc,link
1,830,"2014-11-17 00:02:45.765407","2014-11-17 00:02:45.765407",,Digital,"AlphaStation 200 4/100",68.6,74.6,59.7,59,100,38.4,169.7,45.2,"http://performance.netlib.org/performance/html/spec.dec24100.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 200 4/100 100MHz 21064}"
2,831,"2014-11-17 00:02:45.792211","2014-11-17 00:02:45.792211",,Digital,"DEC 3000 Model 300LX",63.1,68.4,69.2,56.4,107.8,32,123.4,37.8,"http://performance.netlib.org/performance/html/spec.dec300lx.cint92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300LX 125MHz 21064}"
3,833,"2014-11-17 00:02:45.822164","2014-11-17 00:02:45.822164",,Digital,"AlphaStation 400 4/166",107.5,116.8,96.6,93.4,159.4,58.1,264.9,69.6,"http://performance.netlib.org/performance/html/spec.dec40466.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 400 4/166 166MHz 21064}"
4,833,"2014-11-17 00:02:45.848745","2014-11-17 00:02:45.848745",,Digital,"AlphaStation 200 4/166",100.1,116.2,100,89,154.9,55.6,202.2,65,"http://performance.netlib.org/performance/html/spec.dec4166.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 200 4/166 166MHz 21064}"
5,833,"2014-11-17 00:02:45.874343","2014-11-17 00:02:45.874343",,Digital,"AXPpci 33",69.4,76,67.6,44.3,148.6,42.8,149.5,39.1,"http://performance.netlib.org/performance/html/spec.decaxp66.cint92.6_95.notes.html#{Digital Equipment Corporation AXPpci 33 166MHz 21064}"
6,834,"2014-11-17 00:02:45.900375","2014-11-17 00:02:45.900375",,Digital,"DEC 3000 Model 300X",82,90.3,93,74.9,137.5,40.2,158.4,49.9,"http://performance.netlib.org/performance/html/spec.dec300x.cint92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 300X 175MHz 21064}"
7,835,"2014-11-17 00:02:45.925320","2014-11-17 00:02:45.925320",,Digital,"AlphaServer 2100 4/200",117.5,131.8,115.2,95.7,189.7,65.2,233.5,82.7,"http://performance.netlib.org/performance/html/spec.dec42003.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/200 190MHz 21064}"
8,835,"2014-11-17 00:02:45.953759","2014-11-17 00:02:45.953759",,Digital,"Digital 2100 Server A500MP",118.9,126.7,115.8,98.3,189.7,68.6,237.2,80.6,"http://performance.netlib.org/performance/html/spec.dec21500.cint92.6_94.notes.html#{Digital Equipment Corporation Digital 2100 Server A500MP 190MHz 21064}"
9,835,"2014-11-17 00:02:45.981353","2014-11-17 00:02:45.981353",,Digital,"AlphaServer 2000 4/200",117.5,131.8,115.2,95.7,189.7,65.2,233.5,82.7,"http://performance.netlib.org/performance/html/spec.dec42002.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 2000 4/200 190MHz 21064}"
10,836,"2014-11-17 00:02:46.008207","2014-11-17 00:02:46.008207",,Digital,"AlphaServer 1000 4/200",123.3,135.8,117.6,92.4,215.7,71.2,248.9,84.7,"http://performance.netlib.org/performance/html/spec.dec42001.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaServer 1000 4/200 200MHz 21064}"
11,836,"2014-11-17 00:02:46.038106","2014-11-17 00:02:46.038106",,Digital,"DEC 3000 Model 800",130.1,138.4,122,103.5,215.7,78,254.5,89.7,"http://performance.netlib.org/performance/html/spec.dec3-800.cint92.6_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 800 200MHz 21064}"
12,837,"2014-11-17 00:02:46.151143","2014-11-17 00:02:46.151143",,Digital,"DEC 3000 Model 700",153.4,162.6,145.5,114.2,255.8,87.1,314.6,111.9,"http://performance.netlib.org/performance/html/spec.dec3-700.cint92.9_94.notes.html#{Digital Equipment Corporation DEC 3000 Model 700 225MHz 21064A}"
13,838,"2014-11-17 00:02:46.178234","2014-11-17 00:02:46.178234",,Digital,"Digital AlphaServer 400 4/233",141.8,161,143.7,110.5,207.5,71.2,362.4,95.6,"http://performance.netlib.org/performance/html/spec.d44233i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 400 4/233 233MHz 21064A}"
14,838,"2014-11-17 00:02:46.203494","2014-11-17 00:02:46.203494",,Digital,"AlphaStation 200 4/233",137.4,157.7,142.8,112.1,207.5,69.4,304,95.8,"http://performance.netlib.org/performance/html/spec.dec2233.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 200 4/233 233MHz 21064A}"
15,838,"2014-11-17 00:02:46.223298","2014-11-17 00:02:46.223298",,Digital,"AlphaStation 400 4/233",136.2,155.2,142.8,108.6,207.5,71.4,294.2,94.6,"http://performance.netlib.org/performance/html/spec.dec4233.cint92.12_94.notes.html#{Digital Equipment Corporation AlphaStation 400 4/233 233MHz 21064A}"
16,838,"2014-11-17 00:02:46.247415","2014-11-17 00:02:46.247415",,Digital,"AlphaServer 2100 4/233",163.7,177.3,151.3,122.5,239.1,89.4,411.8,117.9,"http://performance.netlib.org/performance/html/spec.dec21433.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaServer 2100 4/233 233MHz 21064A}"
17,839,"2014-11-17 00:02:46.268854","2014-11-17 00:02:46.268854",,Digital,"Digital AlphaServer 1000 4/266",178.5,197.5,168.1,120.6,289.5,100,435.6,126.4,"http://performance.netlib.org/performance/html/spec.d14266i.cint92.12_95.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000 4/266 266MHz 21064A}"
18,839,"2014-11-17 00:02:46.294564","2014-11-17 00:02:46.294564",,Digital,"AlphaStation 250 4/266",182.6,198.6,166.9,133,289.5,101.8,448.5,126.4,"http://performance.netlib.org/performance/html/spec.dec25466.cint92.6_95.notes.html#{Digital Equipment Corporation AlphaStation 250 4/266 266MHz 21064A}"
19,839,"2014-11-17 00:02:46.316310","2014-11-17 00:02:46.316310",,Digital,"Digital AlphaServer 1000A 4/266",178.5,197.5,168.1,120.6,289.5,100,435.6,126.4,"http://performance.netlib.org/performance/html/spec.I00286.cint92.4_96.notes.html#{Digital Equipment Corporation Digital AlphaServer 1000A 4/266 266MHz 21064A}"
