id,processor_id,created_at,updated_at,hw_avail,test_sponsor,hw_model,basemean,peakmean,099_go,124_m88ksim,126_gcc,129_compress,130_li,132_ijpeg,134_perl,147_vortex,link
1,692,"2014-11-17 00:02:51.749691","2014-11-17 00:02:51.749691",2000-03-01,AMD,"ASUS K7V-RM mainboard; 1.0 GHz Athlon processor",42.9,42.9,44.2,58.3,39.6,26.6,56.1,37.2,55.3,36.4,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000331-04207.html
2,691,"2014-11-17 00:02:51.773493","2014-11-17 00:02:51.773493",2000-03-01,AMD,"ASUS K7V-RM mainboard; 900MHz Athlon processor",37.8,37.8,40.5,45.5,37.5,24.9,44.5,32.5,52,32.3,http://www.spec.org/cpu95/results/res2000q2/cpu95-20000328-04179.html
3,692,"2014-11-17 00:02:51.792782","2014-11-17 00:02:51.792782",2000-03-01,AMD,"GigaByte GA-7IX mainboard; 1.0GHz Athlon processor",42,42,44.8,50.4,40.9,27.6,49.3,35.6,57.8,37.3,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000313-04138.html
4,688,"2014-11-17 00:02:51.813812","2014-11-17 00:02:51.813812",1999-12-01,AMD,"GigaByte GA-7IX mainboard; 750MHz Athlon processor",32.9,32.9,34.3,37.8,32.5,23.1,37.9,27.6,43.5,31,http://www.spec.org/cpu95/results/res99q4/cpu95-19991206-03938.html
5,689,"2014-11-17 00:02:51.833650","2014-11-17 00:02:51.833650",2000-01-01,AMD,"GigaByte GA-7IX mainboard; 800MHz Athlon processor",34.9,34.9,36.3,40.3,34.4,24.8,40.5,29.3,45.5,32.7,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04083.html
6,690,"2014-11-17 00:02:51.852352","2014-11-17 00:02:51.852352",2000-02-01,AMD,"GigaByte GA-7IX mainboard; 850MHz Athlon processor",36.9,36.9,37.8,42.8,36.5,26.1,42.9,30.7,49,34.7,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000229-04084.html
7,685,"2014-11-17 00:02:51.872033","2014-11-17 00:02:51.872033",1999-08-01,AMD,"Microstar MS-6167 mainboard; 550MHz Athlon processor",25,0,25.7,27.7,24.7,19.4,28.8,20.7,31.8,23.9,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03744.html
8,686,"2014-11-17 00:02:51.891261","2014-11-17 00:02:51.891261",1999-08-01,AMD,"Microstar MS-6167 mainboard; 600MHz Athlon processor",27.2,0,27.9,30,26.6,21,31.5,22.4,35,25.6,http://www.spec.org/cpu95/results/res99q3/cpu95-19990711-03746.html
9,687,"2014-11-17 00:02:51.909002","2014-11-17 00:02:51.909002",1999-08-01,AMD,"Microstar MS-6167 mainboard; 650MHz Athlon processor",29.3,29.3,30.2,32.8,28.7,22.4,34.1,24.1,37.8,27.4,http://www.spec.org/cpu95/results/res99q3/cpu95-19990914-03866.html
10,873,"2014-11-17 00:02:51.931754","2014-11-17 00:02:51.931754",2000-10-01,"Tom Morris","API UP2000 750 MHz",37,42.7,36.7,48.5,29.8,29.5,36.6,44.7,33,41.3,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04279.html
11,874,"2014-11-17 00:02:51.951254","2014-11-17 00:02:51.951254",2000-10-01,"Tom Morris","API UP2000 833 MHz",43.7,49.4,42.4,54.1,35.5,38,43.8,50.6,39.3,49.3,http://www.spec.org/cpu95/results/res2000q3/cpu95-20000630-04281.html
12,870,"2014-11-17 00:02:51.969570","2014-11-17 00:02:51.969570",1999-07-01,"Alpha Processor; Inc.","UP2000 667 MHz 4MB Windows NT",32,32,33.5,28.8,32.6,26.3,33,37.2,33.1,32.5,http://www.spec.org/cpu95/results/res99q3/cpu95-19990621-03709.html
13,1022,"2014-11-17 00:02:52.059854","2014-11-17 00:02:52.059854",1999-10-01,"BULL Echirolles France",EPC2400,19,20.9,29.3,16.9,19.9,19.8,17.2,13.1,18.8,20.3,http://www.spec.org/cpu95/results/res99q4/cpu95-19991022-03873.html
14,1021,"2014-11-17 00:02:52.082149","2014-11-17 00:02:52.082149",2000-03-01,"BULL Echirolles France",EPC450,16.7,18.3,25.8,15,17.5,17.2,15.2,11.5,16.7,17.8,http://www.spec.org/cpu95/results/res2000q1/cpu95-20000211-04054.html
15,1007,"2014-11-17 00:02:52.102949","2014-11-17 00:02:52.102949",1997-05-01,"BULL Echirolles France","Escala D204e",7.41,8.44,8.81,7.19,6.74,6.58,6.19,8.61,8.69,6.96,http://www.spec.org/cpu95/results/res97q3/cpu95-970623-01953.html
