id,processor_id,created_at,updated_at,hw_avail,test_sponsor,hw_model,bus,sw_auto_parallel,basemean,peakmean,164_gzip,175_vpr,176_gcc,181_mcf,186_crafty,197_parser,252_eon,253_perlbmk,254_gap,255_vortex,256_bzip2,300_twolf,link
1,708,"2014-11-17 00:03:06.267898","2014-11-17 00:03:06.267898",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 4200+",,f,1345,1421,1215,970,1458,1020,1393,1313,1936,1445,1546,2197,1077,1064,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06864.html
2,708,"2014-11-17 00:03:06.289865","2014-11-17 00:03:06.289865",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 4200+",,f,1411,1494,1225,981,1522,1035,1409,1337,2667,1657,1583,2195,1070,1057,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07206.html
3,709,"2014-11-17 00:03:06.315802","2014-11-17 00:03:06.315802",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 5000+",,f,1536,1623,1433,1075,1674,1083,1644,1512,2284,1687,1807,2512,1213,1176,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06880.html
4,709,"2014-11-17 00:03:06.336500","2014-11-17 00:03:06.336500",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 5000+",,f,1612,1706,1444,1089,1743,1109,1661,1536,3154,1938,1848,2505,1205,1167,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07214.html
5,707,"2014-11-17 00:03:06.357690","2014-11-17 00:03:06.357690",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 FX-62",,f,1839,1963,1550,1512,2079,1323,1804,1761,2458,1852,1978,2874,1477,1908,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060725-06839.html
6,707,"2014-11-17 00:03:06.377304","2014-11-17 00:03:06.377304",2006-06-01,"ASUS Computer International","Asus M2N32-SLI Deluxe TM  64 FX-62",,f,1923,2061,1567,1515,2159,1321,1822,1780,3393,2126,2033,2850,1456,1918,http://www.spec.org/cpu2000/results/res2006q3/cpu2000-20060904-07198.html
7,1183,"2014-11-17 00:03:06.395412","2014-11-17 00:03:06.395412",2005-09-01,"Acer Incorporated","Acer Altos G320",,f,1478,1478,1002,1020,1760,1837,1103,1254,1877,1788,1645,2500,1133,1521,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05014.html
8,1532,"2014-11-17 00:03:06.414770","2014-11-17 00:03:06.414770",2005-09-01,"Acer Incorporated","Acer Altos G320",,f,1834,1834,1262,1255,2195,2106,1397,1569,2377,2247,2042,3074,1395,1927,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05015.html
9,758,"2014-11-17 00:03:06.436343","2014-11-17 00:03:06.436343",2005-07-01,"Acer Incorporated","Altos G5350  TM  246",,f,1347,1438,1114,1137,1490,1043,1318,1287,1693,1351,1435,2143,1090,1398,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051031-05010.html
10,760,"2014-11-17 00:03:06.454685","2014-11-17 00:03:06.454685",2005-12-01,"Acer Incorporated","Altos G5350  TM  250",,f,1487,1698,1162,1067,1228,1102,1615,1505,2225,1767,1616,2371,1286,1478,http://www.spec.org/cpu2000/results/res2006q2/cpu2000-20060418-05875.html
11,761,"2014-11-17 00:03:06.543252","2014-11-17 00:03:06.543252",2005-06-01,"Acer Incorporated","Altos G5350  TM  252",,f,1584,1765,1572,1241,1784,733,2214,1205,2426,1722,1693,2561,1437,1410,http://www.spec.org/cpu2000/results/res2005q3/cpu2000-20050724-04391.html
12,762,"2014-11-17 00:03:06.563566","2014-11-17 00:03:06.563566",2005-07-01,"Acer Incorporated","Altos G5350  TM  254",,f,1788,1918,1548,1470,2022,1157,1841,1727,2368,1850,1936,2832,1415,1863,http://www.spec.org/cpu2000/results/res2005q4/cpu2000-20051030-05004.html
13,704,"2014-11-17 00:03:06.581437","2014-11-17 00:03:06.581437",2004-10-01,"Advanced Micro Devices","MSI K8N Neo2 Platinum Motherboard TM  64 FX-55",,f,1583,1735,1595,1318,1819,773,2275,1288,2232,1666,1594,2279,1441,1472,http://www.spec.org/cpu2000/results/res2004q4/cpu2000-20041115-03583.html
14,703,"2014-11-17 00:03:06.602517","2014-11-17 00:03:06.602517",2004-06-01,"Advanced Micro Devices","MSI K8T Neo2-FIR  MS-6702E  Motherboard TM  64",,f,1623,1717,1349,1372,1772,1236,1550,1516,2303,1614,1688,2498,1334,1677,http://www.spec.org/cpu2000/results/res2004q3/cpu2000-20040905-03374.html
15,750,"2014-11-17 00:03:06.624184","2014-11-17 00:03:06.624184",2003-07-01,"Advanced Micro Devices",A4800,,f,1062,1100,996,908,1136,664,1193,1007,1165,1192,1177,1430,870,1233,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02087.html
16,750,"2014-11-17 00:03:06.647933","2014-11-17 00:03:06.647933",2003-07-01,"Advanced Micro Devices",A4800,,f,960,0,824,843,1168,635,1109,952,992,1136,903,1098,882,1137,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02090.html
17,750,"2014-11-17 00:03:06.665987","2014-11-17 00:03:06.665987",2003-07-01,"Advanced Micro Devices",A4800,,f,1045,0,927,957,1280,581,1562,863,1483,1151,965,1192,972,997,http://www.spec.org/cpu2000/results/res2003q2/cpu2000-20030421-02093.html
