id,created_at,updated_at,manufacturer_id,name,year,technology,feature_size,channel_length,metal_layers,metal,gate_type,vdd_nom,vth,source
1,"2014-11-17 00:01:22.776810","2014-11-17 00:01:22.776810",1,,2007,CMOS,0.045,0.025,,,,,,
2,"2014-11-17 00:01:22.792141","2014-11-17 00:01:22.792141",1,,2006,CMOS,0.065,0.035,10,copper,,,,http://www.semiconductor.com/resources/press_releases/2006_12_05_1.asp
3,"2014-11-17 00:01:22.804523","2014-11-17 00:01:22.804523",1,,2005,CMOS,0.09,0.053,,,,1.4,,
4,"2014-11-17 00:01:22.816299","2014-11-17 00:01:22.816299",1,,2003,CMOS,0.13,0.07,,,,,,
5,"2014-11-17 00:01:22.828957","2014-11-17 00:01:22.828957",1,,1999,CMOS,0.18,0.1,,,,,,http://en.wikipedia.org/wiki/Athlon#Athlon_.22Classic.22
6,"2014-11-17 00:01:22.840549","2014-11-17 00:01:22.840549",1,,1998,CMOS,0.25,0.25,5,,,2.2,,
7,"2014-11-17 00:01:22.853069","2014-11-17 00:01:22.853069",1,,1999,CMOS,0.25,0.25,6,copper,,1.8,,
8,"2014-11-17 00:01:22.865162","2014-11-17 00:01:22.865162",1,,1997,CMOS,0.35,0.35,5,,,3.3,,
9,"2014-11-17 00:01:22.876324","2014-11-17 00:01:22.876324",1,,1993,CMOS,0.5,0.5,3,,,,,
10,"2014-11-17 00:01:22.889124","2014-11-17 00:01:22.889124",1,,1991,CMOS,0.8,0.8,,,,,,http://www.cpu-world.com/CPUs/80386/AMD-NG80386DX-40.html
11,"2014-11-17 00:01:22.901665","2014-11-17 00:01:22.901665",1,CS44E-mod,1999,CMOS,0.25,0.25,6,aluminum,,1.6,,http://en.wikipedia.org/wiki/Athlon#Athlon_.22Classic.22
12,"2014-11-17 00:01:22.929622","2014-11-17 00:01:22.929622",2,,1992,CMOS,0.65,0.65,2,,,5,,http://en.wikipedia.org/wiki/HyperSPARC#Physical
13,"2014-11-17 00:01:22.941655","2014-11-17 00:01:22.941655",2,,1989,CMOS,0.8,0.8,2,,,5,,
14,"2014-11-17 00:01:22.966302","2014-11-17 00:01:22.966302",3,CMOS-4,1992,CMOS,0.75,0.75,3,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21064#Fabrication
15,"2014-11-17 00:01:22.980446","2014-11-17 00:01:22.980446",3,CMOS-4S,1993,CMOS,0.675,0.675,3,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21064#Fabrication
16,"2014-11-17 00:01:22.996037","2014-11-17 00:01:22.996037",3,CMOS-5,1993,CMOS,0.5,0.5,4,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21064#Alpha_21064A
17,"2014-11-17 00:01:23.011238","2014-11-17 00:01:23.011238",3,CMOS-6,1995,CMOS,0.35,0.35,4,,,3.3,,http://en.wikipedia.org/wiki/Alpha_21164#Alpha_21164_.28EV56.29
18,"2014-11-17 00:01:23.024784","2014-11-17 00:01:23.024784",3,CMOS-6,1996,CMOS,0.35,0.35,6,,,3.3,,http://alasir.com/articles/alpha_history/alpha_21264.html
19,"2014-11-17 00:01:23.051803","2014-11-17 00:01:23.051803",4,,1994,CMOS,0.5,0.5,3,,,3.3,,
20,"2014-11-17 00:01:23.065800","2014-11-17 00:01:23.065800",4,CS-55,1995,CMOS,0.4,0.4,4,,,3.3,,http://en.wikipedia.org/wiki/SPARC64#SPARC64_GP
